"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"IBM",1,1,"36112.20","31786.30","AA+","AA",,
"Accenture",2,2,"17464.44","12686.81","AA+","AA+",,
"Hewlett Packard Enterprise",3,"-","9114.06","-","AA+","-",,
"TCS",4,3,"9081.46","9046.70","AA+","AA+",,
"Cognizant",5,5,"8631.42","7342.00","AA+","AA+",,
"Infosys",6,6,"6224.30","4794.22","AA+","AA+",,
"Fujitsu",7,8,"4670.39","3887.74","AA","A+",,
"FIS",8,"-","4653.36","-","AA-","-",,
"HCL",9,10,"4462.58","3236.12","AA+","AA+",,
"Xerox",10,7,"4359.24","3889.76","AA","AA-",,
"Capgemini",11,9,"4137.12","3262.28","AA","AA",,
"Atos",12,12,"3716.14","2386.63","A+","AA-",,
"Wipro",13,11,"3439.56","2673.52","AA+","AA+",,
"Nec",14,13,"2419.09","2110.42","AA-","AA-",,
"Tech Mahindra",15,15,"1499.14","1232.51","AA-","AA-",,